date,price,type,bedrooms
6/17/2011,600000,house,4
6/18/2011,362000,house,4
6/19/2011,765000,house,5
6/19/2011,770000,house,4
6/20/2011,469000,house,4
6/23/2011,367000,house,3
6/24/2011,465000,house,4
6/25/2011,375000,house,3
6/25/2011,505000,house,4
6/25/2011,605000,house,3
6/26/2011,325000,house,3
6/27/2011,421000,house,3
6/27/2011,550000,house,4
6/27/2011,590000,house,4
6/29/2011,522500,house,4
6/30/2011,480000,house,2
6/30/2011,1165000,house,5
7/1/2011,670000,house,4
7/4/2011,375000,house,3
7/7/2011,392500,house,4
7/7/2011,445000,house,4
7/8/2011,383000,house,3
7/10/2011,418000,house,3
7/10/2011,860000,house,2
7/11/2011,418000,house,3
7/11/2011,442000,house,4
7/14/2011,360000,house,3
7/14/2011,495000,house,4
7/16/2011,468000,house,3
7/16/2011,605000,house,3
7/16/2011,1090000,house,4
7/17/2011,558000,house,4
7/18/2011,700000,house,3
7/18/2011,1300000,house,4
7/19/2011,320000,house,3
7/23/2011,415000,house,3
7/23/2011,480000,house,4
7/23/2011,553000,house,4
7/23/2011,885000,house,4
7/25/2011,370000,house,4
7/26/2011,564000,house,3
7/28/2011,365000,house,3
7/29/2011,927000,house,4
7/30/2011,360000,house,3
7/30/2011,390000,house,4
7/31/2011,440000,house,4
8/1/2011,430000,house,3
8/1/2011,595000,house,3
8/4/2011,365000,house,3
8/4/2011,585000,house,3
8/4/2011,602500,house,4
8/5/2011,359000,house,3
8/5/2011,475000,house,3
8/6/2011,315000,house,3
8/6/2011,320000,house,4
8/6/2011,325000,house,4
8/6/2011,341000,house,3
8/6/2011,540000,house,4
8/7/2011,395000,house,4
8/9/2011,370000,house,3
8/9/2011,620000,house,4
8/9/2011,631000,house,4
8/11/2011,405000,house,4
8/12/2011,548000,house,3
8/13/2011,405000,house,4
8/13/2011,420000,house,3
8/13/2011,531500,house,4
8/14/2011,350000,house,2
8/15/2011,365000,house,3
8/15/2011,375000,house,3
8/15/2011,402000,house,3
8/15/2011,420000,house,3
8/15/2011,550000,house,2
8/15/2011,585000,house,4
8/18/2011,279500,house,2
8/19/2011,330000,house,3
8/19/2011,360000,house,3
8/19/2011,370000,house,3
8/20/2011,405000,house,3
8/21/2011,395000,house,3
8/21/2011,490000,house,4
8/21/2011,530000,house,5
8/21/2011,680000,house,4
8/22/2011,495000,house,4
8/22/2011,805000,house,4
8/23/2011,630000,house,4
8/25/2011,400000,house,3
8/27/2011,345000,house,3
8/27/2011,440000,house,3
8/27/2011,510000,house,4
8/28/2011,310000,house,3
8/29/2011,370000,house,4
8/29/2011,465000,house,4
8/30/2011,342000,house,3
9/1/2011,380000,house,3
9/2/2011,345000,house,3
9/2/2011,370000,house,4
9/2/2011,495000,house,4
9/2/2011,541000,house,4
9/2/2011,1380000,house,5
9/3/2011,372000,house,3
9/3/2011,415000,house,3
9/4/2011,335000,house,3
9/4/2011,1150000,house,5
9/5/2011,387000,house,3
9/5/2011,395000,house,3
9/5/2011,400000,house,4
9/5/2011,426000,house,3
9/5/2011,552000,house,4
9/8/2011,349000,house,3
9/8/2011,360500,house,3
9/8/2011,740000,house,3
9/10/2011,371600,house,4
9/11/2011,380000,house,3
9/11/2011,450000,house,3
9/12/2011,427000,house,4
9/13/2011,477000,house,4
9/13/2011,479000,house,3
9/15/2011,321000,house,2
9/15/2011,405000,house,3
9/16/2011,357000,house,3
9/16/2011,360000,house,4
9/16/2011,365000,house,3
9/16/2011,585000,house,4
9/17/2011,343000,house,3
9/17/2011,410000,house,3
9/17/2011,420000,house,4
9/17/2011,420000,house,3
9/17/2011,720000,house,3
9/17/2011,720000,house,5
9/18/2011,320000,house,3
9/18/2011,474000,house,4
9/18/2011,860000,house,3
9/19/2011,460000,house,3
9/19/2011,592000,house,2
9/19/2011,695000,house,5
9/20/2011,346000,house,3
9/22/2011,349950,house,3
9/22/2011,355000,house,3
9/22/2011,362000,house,3
9/22/2011,373000,house,3
9/22/2011,399000,house,4
9/22/2011,422250,house,3
9/22/2011,445000,house,3
9/22/2011,475000,house,4
9/22/2011,485000,house,5
9/22/2011,560500,house,4
9/22/2011,590000,house,4
9/22/2011,595000,house,4
9/22/2011,650000,house,3
9/22/2011,660000,house,4
9/22/2011,675000,house,4
9/22/2011,685000,house,4
9/22/2011,690000,house,4
9/22/2011,975000,house,3
9/23/2011,372000,house,3
9/24/2011,437000,house,3
9/25/2011,411000,house,3
9/25/2011,450000,house,4
9/25/2011,525000,house,2
9/26/2011,312000,house,3
9/26/2011,510000,house,4
9/26/2011,707500,house,4
9/26/2011,755000,house,4
9/29/2011,380000,house,4
9/29/2011,389000,house,3
9/29/2011,415000,house,3
9/29/2011,557000,house,4
9/29/2011,585000,house,4
9/29/2011,595000,house,2
9/29/2011,875000,house,5
9/30/2011,367500,house,4
9/30/2011,372000,house,3
9/30/2011,549000,house,3
9/30/2011,575000,house,4
9/30/2011,594000,house,4
9/30/2011,662500,house,2
10/1/2011,455000,house,4
10/2/2011,390000,house,3
10/3/2011,332000,house,3
10/3/2011,380000,house,3
10/3/2011,405000,house,4
10/3/2011,460000,house,4
10/7/2011,355000,house,3
10/7/2011,473000,house,4
10/7/2011,560000,house,4
10/8/2011,347000,house,3
10/8/2011,359950,house,3
10/8/2011,1030000,house,3
10/9/2011,338500,house,3
10/10/2011,378000,house,3
10/10/2011,400000,house,4
10/10/2011,453000,house,4
10/10/2011,476600,house,4
10/10/2011,677500,house,4
10/10/2011,749950,house,4
10/12/2011,390000,house,3
10/13/2011,435000,house,3
10/13/2011,507500,house,4
10/14/2011,350000,house,3
10/14/2011,399000,house,3
10/14/2011,420000,house,4
10/14/2011,450000,house,3
10/14/2011,525000,house,2
10/14/2011,595000,house,4
10/14/2011,910000,house,3
10/15/2011,395000,house,3
10/15/2011,552500,house,3
10/16/2011,375000,house,3
10/16/2011,440000,house,3
10/17/2011,352000,house,3
10/17/2011,495000,house,4
10/17/2011,530000,house,4
10/17/2011,690000,house,3
10/18/2011,342000,house,2
10/18/2011,420000,house,3
10/18/2011,575000,house,3
10/18/2011,612000,house,4
10/20/2011,349000,house,3
10/20/2011,350000,house,3
10/20/2011,480000,house,4
10/21/2011,342000,house,3
10/21/2011,372500,house,4
10/21/2011,375000,house,3
10/21/2011,408000,house,4
10/21/2011,515000,house,4
10/22/2011,370000,house,3
10/22/2011,657500,house,4
10/23/2011,340000,house,3
10/23/2011,369000,house,3
10/23/2011,419950,house,3
10/23/2011,455000,house,3
10/23/2011,495000,house,4
10/23/2011,765000,house,4
10/24/2011,361000,house,3
10/24/2011,425000,house,3
10/24/2011,498600,house,4
10/24/2011,570000,house,4
10/27/2011,330250,house,3
10/27/2011,337000,house,3
10/27/2011,360000,house,3
10/27/2011,440000,house,3
10/27/2011,475000,house,4
10/27/2011,510000,house,4
10/27/2011,1120000,house,4
10/28/2011,340000,house,2
10/28/2011,676000,house,4
10/29/2011,420000,house,4
10/30/2011,585000,house,4
10/30/2011,720000,house,5
10/31/2011,372000,house,3
10/31/2011,395000,house,3
10/31/2011,544000,house,4
10/31/2011,581650,house,4
10/31/2011,800000,house,3
11/3/2011,330000,house,3
11/3/2011,330000,house,3
11/3/2011,350000,house,3
11/3/2011,360000,house,3
11/3/2011,424000,house,4
11/3/2011,583000,house,4
11/5/2011,359950,house,3
11/5/2011,425000,house,3
11/5/2011,475000,house,3
11/5/2011,477500,house,4
11/5/2011,1425000,house,3
11/6/2011,345000,house,2
11/6/2011,485000,house,3
11/6/2011,557500,house,4
11/7/2011,360000,house,3
11/7/2011,395000,house,4
11/7/2011,415000,house,4
11/7/2011,435000,house,3
11/7/2011,522000,house,4
11/7/2011,757500,house,3
11/10/2011,357000,house,3
11/10/2011,542000,house,5
11/10/2011,567000,house,4
11/10/2011,623700,house,5
11/10/2011,702500,house,4
11/11/2011,324000,house,3
11/11/2011,351000,house,3
11/11/2011,449000,house,3
11/11/2011,515000,house,4
11/12/2011,342500,house,3
11/12/2011,400000,house,3
11/12/2011,462000,house,3
11/13/2011,375000,house,3
11/14/2011,385000,house,3
11/15/2011,380000,house,3
11/15/2011,418000,house,3
11/15/2011,530000,house,2
11/17/2011,350000,house,4
11/17/2011,370000,house,3
11/17/2011,379000,house,3
11/17/2011,385000,house,3
11/17/2011,438000,house,3
11/17/2011,460000,house,4
11/17/2011,635000,house,4
11/17/2011,830000,house,4
11/17/2011,950000,house,4
11/18/2011,455000,house,4
11/18/2011,540000,house,4
11/18/2011,635000,house,3
11/18/2011,950000,house,3
11/19/2011,348000,house,3
11/19/2011,460000,house,4
11/19/2011,497000,house,4
11/19/2011,515000,house,4
11/20/2011,450000,house,3
11/20/2011,475000,house,4
11/20/2011,665000,house,4
11/21/2011,350000,house,3
11/21/2011,392500,house,3
11/21/2011,450000,house,4
11/21/2011,454000,house,3
11/21/2011,475000,house,3
11/21/2011,500000,house,4
11/21/2011,730000,house,3
11/22/2011,510000,house,4
11/22/2011,640000,house,3
11/22/2011,805000,house,4
11/24/2011,387000,house,4
11/24/2011,389950,house,3
11/24/2011,393000,house,4
11/24/2011,395000,house,3
11/24/2011,468500,house,4
11/24/2011,480000,house,3
11/24/2011,485000,house,4
11/24/2011,485000,house,4
11/24/2011,500000,house,4
11/24/2011,547500,house,4
11/24/2011,565000,house,5
11/24/2011,630000,house,3
11/25/2011,490000,house,4
11/25/2011,540000,house,5
11/25/2011,630000,house,2
11/25/2011,735000,house,5
11/26/2011,326000,house,3
11/26/2011,375000,house,2
11/26/2011,453000,house,4
11/26/2011,462500,house,4
11/26/2011,580000,house,5
11/27/2011,327500,house,3
11/27/2011,390000,house,3
11/28/2011,322500,house,3
11/28/2011,335000,house,3
11/28/2011,337500,house,3
11/28/2011,345000,house,3
11/28/2011,345000,house,3
11/28/2011,351000,house,3
11/28/2011,470000,house,3
11/28/2011,540000,house,3
11/28/2011,544000,house,4
11/28/2011,1095000,house,4
11/28/2011,1250000,house,3
11/29/2011,375000,house,3
11/29/2011,395000,house,3
12/1/2011,327500,house,3
12/1/2011,400000,house,3
12/1/2011,450000,house,3
12/1/2011,507500,house,3
12/1/2011,940000,house,4
12/1/2011,1050000,house,4
12/2/2011,320000,house,3
12/2/2011,349750,house,3
12/2/2011,360000,house,4
12/2/2011,410000,house,4
12/2/2011,422500,house,4
12/2/2011,464000,house,4
12/2/2011,529000,house,3
12/2/2011,557500,house,3
12/3/2011,301000,house,3
12/3/2011,320000,house,3
12/3/2011,371000,house,4
12/3/2011,374950,house,3
12/3/2011,385150,house,3
12/3/2011,399950,house,4
12/3/2011,490000,house,5
12/3/2011,512500,house,3
12/3/2011,575000,house,4
12/4/2011,340000,house,3
12/4/2011,360000,house,3
12/4/2011,420000,house,3
12/4/2011,463000,house,4
12/4/2011,470000,house,4
12/4/2011,570000,house,4
12/4/2011,680000,house,4
12/5/2011,299000,house,3
12/5/2011,309000,house,3
12/5/2011,333000,house,2
12/5/2011,430000,house,3
12/5/2011,445000,house,3
12/5/2011,455000,house,4
12/5/2011,493000,house,5
12/5/2011,505000,house,3
12/5/2011,650000,house,3
